wavelength(nm)         real         imag
200.00   3.72646941   0.00331648
201.00   3.72473040   0.00336647
202.00   3.72298274   0.00341695
203.00   3.72122642   0.00346794
204.00   3.71946143   0.00351943
205.00   3.71768779   0.00357143
206.00   3.71590549   0.00362393
207.00   3.71411452   0.00367695
208.00   3.71231490   0.00373048
209.00   3.71050662   0.00378453
210.00   3.70868968   0.00383910
211.00   3.70686408   0.00389419
212.00   3.70502982   0.00394981
213.00   3.70318691   0.00400595
214.00   3.70133533   0.00406262
215.00   3.69947510   0.00411982
216.00   3.69760621   0.00417756
217.00   3.69572866   0.00423584
218.00   3.69384246   0.00429465
219.00   3.69194760   0.00435400
220.00   3.69004408   0.00441390
221.00   3.68813190   0.00447435
222.00   3.68621107   0.00453534
223.00   3.68428158   0.00459689
224.00   3.68234344   0.00465899
225.00   3.68039664   0.00472165
226.00   3.67844118   0.00478486
227.00   3.67647707   0.00484864
228.00   3.67450431   0.00491298
229.00   3.67252289   0.00497789
230.00   3.67053281   0.00504336
231.00   3.66853408   0.00510941
232.00   3.66652669   0.00517603
233.00   3.66451065   0.00524323
234.00   3.66248596   0.00531101
235.00   3.66045261   0.00537937
236.00   3.65841061   0.00544831
237.00   3.65635996   0.00551784
238.00   3.65430065   0.00558795
239.00   3.65223269   0.00565866
240.00   3.65015608   0.00572996
241.00   3.64807082   0.00580186
242.00   3.64597690   0.00587436
243.00   3.64387433   0.00594746
244.00   3.64176311   0.00602116
245.00   3.63964324   0.00609547
246.00   3.63751472   0.00617038
247.00   3.63537755   0.00624591
248.00   3.63323172   0.00632205
249.00   3.63107725   0.00639880
250.00   3.62891412   0.00647618
251.00   3.62674235   0.00655417
252.00   3.62456192   0.00663279
253.00   3.62237285   0.00671204
254.00   3.62017512   0.00679191
255.00   3.61796875   0.00687241
256.00   3.61575373   0.00695355
257.00   3.61353006   0.00703532
258.00   3.61129774   0.00711774
259.00   3.60905678   0.00720079
260.00   3.60680716   0.00728448
261.00   3.60454890   0.00736882
262.00   3.60228199   0.00745381
263.00   3.60000643   0.00753945
264.00   3.59772223   0.00762574
265.00   3.59542938   0.00771269
266.00   3.59312788   0.00780029
267.00   3.59081774   0.00788856
268.00   3.58849895   0.00797749
269.00   3.58617152   0.00806708
270.00   3.58383544   0.00815735
271.00   3.58149072   0.00824828
272.00   3.57913735   0.00833988
273.00   3.57677533   0.00843216
274.00   3.57440468   0.00852512
275.00   3.57202537   0.00861876
276.00   3.56963743   0.00871308
277.00   3.56724084   0.00880809
278.00   3.56483561   0.00890378
279.00   3.56242173   0.00900017
280.00   3.55999921   0.00909724
