wavelength(nm)         real         imag
200.00   3.69815395   0.00385764
201.00   3.69613119   0.00391578
202.00   3.69409835   0.00397451
203.00   3.69205544   0.00403381
204.00   3.69000246   0.00409370
205.00   3.68793941   0.00415418
206.00   3.68586628   0.00421526
207.00   3.68378308   0.00427693
208.00   3.68168981   0.00433920
209.00   3.67958647   0.00440207
210.00   3.67747305   0.00446554
211.00   3.67534957   0.00452962
212.00   3.67321601   0.00459431
213.00   3.67107238   0.00465961
214.00   3.66891868   0.00472553
215.00   3.66675491   0.00479207
216.00   3.66458107   0.00485923
217.00   3.66239715   0.00492701
218.00   3.66020317   0.00499542
219.00   3.65799912   0.00506446
220.00   3.65578500   0.00513413
221.00   3.65356081   0.00520444
222.00   3.65132655   0.00527539
223.00   3.64908222   0.00534698
224.00   3.64682783   0.00541921
225.00   3.64456336   0.00549209
226.00   3.64228883   0.00556562
227.00   3.64000423   0.00563980
228.00   3.63770956   0.00571464
229.00   3.63540483   0.00579014
230.00   3.63309002   0.00586630
231.00   3.63076515   0.00594313
232.00   3.62843022   0.00602062
233.00   3.62608522   0.00609879
234.00   3.62373015   0.00617762
235.00   3.62136502   0.00625713
236.00   3.61898982   0.00633733
237.00   3.61660455   0.00641820
238.00   3.61420922   0.00649976
239.00   3.61180383   0.00658200
240.00   3.60938837   0.00666494
241.00   3.60696285   0.00674857
242.00   3.60452726   0.00683289
243.00   3.60208161   0.00691792
244.00   3.59962590   0.00700365
245.00   3.59716012   0.00709008
246.00   3.59468428   0.00717722
247.00   3.59219838   0.00726507
248.00   3.58970242   0.00735363
249.00   3.58719639   0.00744291
250.00   3.58468030   0.00753291
251.00   3.58215415   0.00762364
252.00   3.57961794   0.00771508
253.00   3.57707167   0.00780726
254.00   3.57451534   0.00790017
255.00   3.57194895   0.00799381
256.00   3.56937249   0.00808818
257.00   3.56678598   0.00818330
258.00   3.56418941   0.00827916
259.00   3.56158278   0.00837576
260.00   3.55896609   0.00847311
261.00   3.55633934   0.00857121
262.00   3.55370253   0.00867007
263.00   3.55105567   0.00876968
264.00   3.54839874   0.00887005
265.00   3.54573176   0.00897119
266.00   3.54305473   0.00907309
267.00   3.54036763   0.00917576
268.00   3.53767048   0.00927920
269.00   3.53496327   0.00938341
270.00   3.53224601   0.00948840
271.00   3.52951869   0.00959417
272.00   3.52678132   0.00970073
273.00   3.52403389   0.00980806
274.00   3.52127640   0.00991619
275.00   3.51850886   0.01002511
276.00   3.51573127   0.01013482
277.00   3.51294362   0.01024533
278.00   3.51014592   0.01035664
279.00   3.50733817   0.01046875
280.00   3.50452036   0.01058167
281.00   3.50169250   0.01069539
282.00   3.49885459   0.01080993
283.00   3.49600662   0.01092528
284.00   3.49314861   0.01104145
285.00   3.49028054   0.01115844
286.00   3.48740242   0.01127625
287.00   3.48451425   0.01139489
288.00   3.48161603   0.01151435
289.00   3.47870776   0.01163465
290.00   3.47578944   0.01175578
291.00   3.47286107   0.01187775
292.00   3.46992265   0.01200056
293.00   3.46697418   0.01212421
294.00   3.46401567   0.01224870
295.00   3.46104710   0.01237405
296.00   3.45806849   0.01250025
297.00   3.45507983   0.01262730
298.00   3.45208112   0.01275521
299.00   3.44907237   0.01288398
300.00   3.44605356   0.01301361
301.00   3.44302472   0.01314411
302.00   3.43998582   0.01327548
303.00   3.43693688   0.01340771
304.00   3.43387790   0.01354083
305.00   3.43080887   0.01367482
306.00   3.42772980   0.01380969
307.00   3.42464068   0.01394544
308.00   3.42154152   0.01408208
309.00   3.41843231   0.01421961
310.00   3.41531306   0.01435803
311.00   3.41218377   0.01449735
312.00   3.40904443   0.01463756
313.00   3.40589506   0.01477867
314.00   3.40273564   0.01492069
315.00   3.39956618   0.01506361
316.00   3.39638667   0.01520744
317.00   3.39319713   0.01535219
318.00   3.38999755   0.01549785
319.00   3.38678792   0.01564442
320.00   3.38356826   0.01579192
321.00   3.38033856   0.01594034
322.00   3.37709882   0.01608968
323.00   3.37384904   0.01623996
324.00   3.37058922   0.01639116
325.00   3.36731936   0.01654330
326.00   3.36403947   0.01669638
327.00   3.36074953   0.01685040
328.00   3.35744956   0.01700536
329.00   3.35413956   0.01716127
330.00   3.35081952   0.01731813
331.00   3.34748944   0.01747594
332.00   3.34414932   0.01763470
333.00   3.34079918   0.01779443
334.00   3.33743899   0.01795511
335.00   3.33406877   0.01811675
336.00   3.33068852   0.01827937
337.00   3.32729824   0.01844295
338.00   3.32389792   0.01860750
339.00   3.32048757   0.01877303
340.00   3.31706718   0.01893954
341.00   3.31363676   0.01910702
342.00   3.31019632   0.01927549
343.00   3.30674584   0.01944495
344.00   3.30328532   0.01961540
345.00   3.29981478   0.01978683
346.00   3.29633421   0.01995927
347.00   3.29284361   0.02013270
348.00   3.28934298   0.02030713
349.00   3.28583232   0.02048256
350.00   3.28231163   0.02065901
351.00   3.27878091   0.02083646
352.00   3.27524016   0.02101492
353.00   3.27168939   0.02119440
354.00   3.26812859   0.02137489
355.00   3.26455776   0.02155641
356.00   3.26097691   0.02173895
357.00   3.25738602   0.02192251
358.00   3.25378512   0.02210711
359.00   3.25017419   0.02229273
360.00   3.24655323   0.02247940
361.00   3.24292225   0.02266710
362.00   3.23928124   0.02285584
363.00   3.23563022   0.02304562
364.00   3.23196916   0.02323645
365.00   3.22829809   0.02342833
366.00   3.22461699   0.02362126
367.00   3.22092587   0.02381525
368.00   3.21722473   0.02401030
369.00   3.21351357   0.02420640
370.00   3.20979238   0.02440357
371.00   3.20606118   0.02460181
372.00   3.20231996   0.02480111
373.00   3.19856871   0.02500149
374.00   3.19480745   0.02520294
375.00   3.19103617   0.02540547
376.00   3.18725487   0.02560908
377.00   3.18346355   0.02581378
378.00   3.17966221   0.02601956
379.00   3.17585086   0.02622643
380.00   3.17202949   0.02643439
381.00   3.16819810   0.02664345
382.00   3.16435670   0.02685360
383.00   3.16050528   0.02706486
384.00   3.15664385   0.02727722
385.00   3.15277240   0.02749069
386.00   3.14889094   0.02770526
387.00   3.14499946   0.02792095
388.00   3.14109798   0.02813775
389.00   3.13718647   0.02835567
390.00   3.13326496   0.02857471
391.00   3.12933343   0.02879488
392.00   3.12539189   0.02901617
393.00   3.12144034   0.02923859
394.00   3.11747878   0.02946214
395.00   3.11350721   0.02968683
396.00   3.10952563   0.02991265
397.00   3.10553404   0.03013962
398.00   3.10153244   0.03036773
399.00   3.09752083   0.03059698
400.00   3.09349921   0.03082739
401.00   3.08946759   0.03105894
402.00   3.08542596   0.03129166
403.00   3.08137432   0.03152553
404.00   3.07731267   0.03176056
405.00   3.07324102   0.03199675
406.00   3.06915936   0.03223411
407.00   3.06506770   0.03247264
408.00   3.06096603   0.03271234
409.00   3.05685436   0.03295322
410.00   3.05273269   0.03319527
411.00   3.04860101   0.03343851
412.00   3.04445933   0.03368293
