wavelength(nm)         real         imag
100.00   3.78097514   0.00113739
102.00   3.77616699   0.00120700
104.00   3.77126367   0.00127940
106.00   3.76626517   0.00135464
108.00   3.76117151   0.00143276
110.00   3.75598268   0.00151384
112.00   3.75069868   0.00159791
114.00   3.74531952   0.00168505
116.00   3.73984520   0.00177529
118.00   3.73427572   0.00186870
120.00   3.72861108   0.00196533
122.00   3.72285129   0.00206524
124.00   3.71699635   0.00216847
126.00   3.71104627   0.00227509
128.00   3.70500103   0.00238514
130.00   3.69886065   0.00249869
132.00   3.69262514   0.00261578
134.00   3.68629448   0.00273648
136.00   3.67986869   0.00286083
138.00   3.67334777   0.00298890
140.00   3.66673172   0.00312073
142.00   3.66002054   0.00325637
144.00   3.65321424   0.00339590
146.00   3.64631281   0.00353935
148.00   3.63931628   0.00368678
150.00   3.63222462   0.00383826
152.00   3.62503786   0.00399382
154.00   3.61775598   0.00415353
156.00   3.61037901   0.00431744
158.00   3.60290693   0.00448561
160.00   3.59533975   0.00465809
162.00   3.58767747   0.00483493
164.00   3.57992011   0.00501619
166.00   3.57206766   0.00520193
168.00   3.56412012   0.00539219
170.00   3.55607750   0.00558704
172.00   3.54793980   0.00578652
174.00   3.53970703   0.00599069
176.00   3.53137919   0.00619961
178.00   3.52295628   0.00641333
180.00   3.51443830   0.00663191
182.00   3.50582527   0.00685539
184.00   3.49711718   0.00708384
186.00   3.48831404   0.00731730
188.00   3.47941585   0.00755584
190.00   3.47042262   0.00779950
192.00   3.46133435   0.00804835
194.00   3.45215104   0.00830243
196.00   3.44287269   0.00856180
198.00   3.43349932   0.00882652
200.00   3.42403093   0.00909663
202.00   3.41446751   0.00937220
204.00   3.40480908   0.00965328
206.00   3.39505564   0.00993992
208.00   3.38520719   0.01023217
210.00   3.37526374   0.01053010
212.00   3.36522528   0.01083375
214.00   3.35509184   0.01114318
216.00   3.34486340   0.01145844
218.00   3.33453998   0.01177959
220.00   3.32412158   0.01210669
222.00   3.31360820   0.01243978
224.00   3.30299985   0.01277893
226.00   3.29229653   0.01312418
228.00   3.28149825   0.01347559
230.00   3.27060502   0.01383321
232.00   3.25961683   0.01419711
234.00   3.24853369   0.01456732
236.00   3.23735560   0.01494392
238.00   3.22608258   0.01532694
240.00   3.21471463   0.01571646
242.00   3.20325175   0.01611251
244.00   3.19169394   0.01651516
246.00   3.18004122   0.01692445
248.00   3.16829358   0.01734045
250.00   3.15645104   0.01776321
252.00   3.14451359   0.01819278
254.00   3.13248124   0.01862922
256.00   3.12035401   0.01907258
258.00   3.10813188   0.01952291
260.00   3.09581487   0.01998027
262.00   3.08340299   0.02044471
264.00   3.07089623   0.02091629
266.00   3.05829461   0.02139507
268.00   3.04559813   0.02188109
270.00   3.03280680   0.02237441
272.00   3.01992062   0.02287508
274.00   3.00693959   0.02338317
276.00   2.99386372   0.02389871
278.00   2.98069303   0.02442178
280.00   2.96742751   0.02495241
282.00   2.95406716   0.02549068
284.00   2.94061201   0.02603662
286.00   2.92706204   0.02659029
288.00   2.91341727   0.02715176
290.00   2.89967771   0.02772106
292.00   2.88584335   0.02829827
294.00   2.87191421   0.02888342
296.00   2.85789030   0.02947658
298.00   2.84377160   0.03007780
300.00   2.82955815   0.03068713
302.00   2.81524993   0.03130463
304.00   2.80084696   0.03193035
306.00   2.78634924   0.03256435
308.00   2.77175678   0.03320667
310.00   2.75706959   0.03385739
312.00   2.74228767   0.03451653
314.00   2.72741102   0.03518418
316.00   2.71243966   0.03586036
318.00   2.69737360   0.03654515
320.00   2.68221283   0.03723860
322.00   2.66695736   0.03794075
324.00   2.65160721   0.03865166
326.00   2.63616237   0.03937140
328.00   2.62062286   0.04010000
330.00   2.60498868   0.04083753
332.00   2.58925983   0.04158403
334.00   2.57343634   0.04233958
336.00   2.55751819   0.04310420
338.00   2.54150540   0.04387797
340.00   2.52539798   0.04466094
342.00   2.50919594   0.04545315
344.00   2.49289927   0.04625467
346.00   2.47650799   0.04706554
348.00   2.46002210   0.04788583
350.00   2.44344162   0.04871558
352.00   2.42676654   0.04955485
354.00   2.40999688   0.05040369
356.00   2.39313264   0.05126217
358.00   2.37617384   0.05213032
360.00   2.35912047   0.05300821
362.00   2.34197255   0.05389589
364.00   2.32473008   0.05479341
366.00   2.30739307   0.05570082
368.00   2.28996153   0.05661819
370.00   2.27243547   0.05754557
372.00   2.25481489   0.05848300
374.00   2.23709980   0.05943055
376.00   2.21929021   0.06038826
378.00   2.20138612   0.06135619
380.00   2.18338755   0.06233440
382.00   2.16529451   0.06332294
384.00   2.14710699   0.06432186
386.00   2.12882501   0.06533121
388.00   2.11044858   0.06635106
390.00   2.09197770   0.06738145
392.00   2.07341238   0.06842243
394.00   2.05475264   0.06947407
396.00   2.03599847   0.07053642
398.00   2.01714989   0.07160952
400.00   1.99820690   0.07269344
402.00   1.97916952   0.07378822
404.00   1.96003775   0.07489392
406.00   1.94081160   0.07601060
408.00   1.92149108   0.07713831
410.00   1.90207619   0.07827710
412.00   1.88256695   0.07942702
414.00   1.86296336   0.08058814
416.00   1.84326544   0.08176049
418.00   1.82347318   0.08294415
420.00   1.80358661   0.08413916
422.00   1.78360572   0.08534557
424.00   1.76353053   0.08656343
426.00   1.74336105   0.08779282
428.00   1.72309728   0.08903376
430.00   1.70273923   0.09028633
432.00   1.68228691   0.09155057
434.00   1.66174034   0.09282653
436.00   1.64109952   0.09411428
438.00   1.62036445   0.09541386
440.00   1.59953515   0.09672533
442.00   1.57861163   0.09804874
444.00   1.55759390   0.09938414
446.00   1.53648196   0.10073160
448.00   1.51527583   0.10209115
450.00   1.49397551   0.10346286
452.00   1.47258101   0.10484678
454.00   1.45109234   0.10624297
456.00   1.42950952   0.10765147
458.00   1.40783255   0.10907234
460.00   1.38606144   0.11050564
462.00   1.36419620   0.11195141
464.00   1.34223684   0.11340971
466.00   1.32018337   0.11488060
468.00   1.29803579   0.11636412
470.00   1.27579413   0.11786034
472.00   1.25345838   0.11936930
474.00   1.23102856   0.12089106
476.00   1.20850468   0.12242568
478.00   1.18588675   0.12397320
480.00   1.16317477   0.12553367
482.00   1.14036876   0.12710716
484.00   1.11746873   0.12869372
486.00   1.09447469   0.13029339
488.00   1.07138664   0.13190624
490.00   1.04820460   0.13353231
492.00   1.02492858   0.13517167
494.00   1.00155858   0.13682436
496.00   0.97809462   0.13849043
498.00   0.95453671   0.14016994
500.00   0.93088486   0.14186295
502.00   0.90713908   0.14356950
504.00   0.88329937   0.14528965
506.00   0.85936576   0.14702346
508.00   0.83533824   0.14877097
510.00   0.81121683   0.15053224
512.00   0.78700155   0.15230733
514.00   0.76269239   0.15409628
516.00   0.73828938   0.15589915
518.00   0.71379252   0.15771600
520.00   0.68920182   0.15954687
522.00   0.66451730   0.16139182
524.00   0.63973896   0.16325090
526.00   0.61486681   0.16512417
528.00   0.58990087   0.16701168
530.00   0.56484115   0.16891349
532.00   0.53968766   0.17082964
534.00   0.51444040   0.17276018
536.00   0.48909939   0.17470518
538.00   0.46366465   0.17666469
540.00   0.43813617   0.17863875
542.00   0.41251398   0.18062743
544.00   0.38679808   0.18263077
546.00   0.36098849   0.18464883
548.00   0.33508521   0.18668166
550.00   0.30908826   0.18872931
552.00   0.28299765   0.19079184
554.00   0.25681339   0.19286930
556.00   0.23053550   0.19496175
558.00   0.20416397   0.19706923
560.00   0.17769883   0.19919181
562.00   0.15114009   0.20132952
564.00   0.12448775   0.20348243
566.00   0.09774183   0.20565059
568.00   0.07090234   0.20783406
570.00   0.04396930   0.21003287
572.00   0.01694271   0.21224710
574.00  -0.01017742   0.21447678
576.00  -0.03739106   0.21672198
578.00  -0.06469822   0.21898275
580.00  -0.09209888   0.22125914
582.00  -0.11959302   0.22355120
584.00  -0.14718064   0.22585898
586.00  -0.17486172   0.22818255
588.00  -0.20263625   0.23052194
590.00  -0.23050423   0.23287722
592.00  -0.25846562   0.23524844
