wavelength(nm)         real         imag
100.00   3.83408117   0.00062991
102.00   3.83141830   0.00066847
104.00   3.82870272   0.00070856
106.00   3.82593443   0.00075023
108.00   3.82311344   0.00079350
110.00   3.82023974   0.00083840
112.00   3.81731334   0.00088496
114.00   3.81433423   0.00093322
116.00   3.81130242   0.00098320
118.00   3.80821790   0.00103493
120.00   3.80508069   0.00108845
122.00   3.80189078   0.00114378
124.00   3.79864818   0.00120095
126.00   3.79535287   0.00126000
128.00   3.79200488   0.00132095
130.00   3.78860419   0.00138383
132.00   3.78515081   0.00144868
134.00   3.78164474   0.00151553
136.00   3.77808598   0.00158440
138.00   3.77447454   0.00165532
140.00   3.77081041   0.00172833
142.00   3.76709360   0.00180346
144.00   3.76332410   0.00188073
146.00   3.75950193   0.00196018
148.00   3.75562708   0.00204183
150.00   3.75169955   0.00212572
152.00   3.74771935   0.00221187
154.00   3.74368647   0.00230033
156.00   3.73960092   0.00239110
158.00   3.73546270   0.00248424
160.00   3.73127182   0.00257976
162.00   3.72702827   0.00267770
164.00   3.72273205   0.00277809
166.00   3.71838317   0.00288095
168.00   3.71398164   0.00298632
170.00   3.70952744   0.00309423
172.00   3.70502059   0.00320471
174.00   3.70046108   0.00331779
176.00   3.69584892   0.00343349
178.00   3.69118411   0.00355186
180.00   3.68646665   0.00367291
182.00   3.68169655   0.00379668
184.00   3.67687380   0.00392320
186.00   3.67199841   0.00405250
188.00   3.66707038   0.00418461
190.00   3.66208971   0.00431955
192.00   3.65705640   0.00445737
194.00   3.65197046   0.00459809
196.00   3.64683189   0.00474173
198.00   3.64164070   0.00488834
200.00   3.63639687   0.00503793
202.00   3.63110042   0.00519055
204.00   3.62575135   0.00534622
206.00   3.62034966   0.00550496
208.00   3.61489535   0.00566682
210.00   3.60938843   0.00583182
212.00   3.60382889   0.00599999
214.00   3.59821674   0.00617136
216.00   3.59255199   0.00634596
218.00   3.58683463   0.00652382
220.00   3.58106467   0.00670498
222.00   3.57524211   0.00688945
224.00   3.56936695   0.00707728
226.00   3.56343919   0.00726849
228.00   3.55745884   0.00746310
230.00   3.55142591   0.00766117
232.00   3.54534038   0.00786270
234.00   3.53920227   0.00806773
236.00   3.53301158   0.00827630
238.00   3.52676831   0.00848843
240.00   3.52047247   0.00870415
242.00   3.51412405   0.00892350
244.00   3.50772306   0.00914649
246.00   3.50126950   0.00937317
248.00   3.49476337   0.00960356
250.00   3.48820469   0.00983769
252.00   3.48159344   0.01007560
