eV	n	k	e1	e2
0.64	0.24	14.08	-198.1888	6.7584
0.77	0.15	11.85	-140.4	3.555
0.89	0.13	10.1	-101.9931	2.626
1.02	0.09	8.828	-77.925484	1.58904
1.14	0.04	7.795	-60.760425	0.6236
1.26	0.04	6.992	-48.886464	0.55936
1.39	0.04	6.312	-39.839744	0.50496
1.51	0.04	5.727	-32.796929	0.45816
1.64	0.03	5.242	-27.477664	0.31452
1.76	0.04	4.838	-23.404644	0.38704
1.88	0.05	4.483	-20.094789	0.4483
2.01	0.06	4.152	-17.235504	0.49824
2.13	0.05	3.858	-14.881664	0.3858
2.26	0.06	3.586	-12.855796	0.43032
2.38	0.05	3.324	-11.046476	0.3324
2.5	0.05	3.093	-9.564149	0.3093
2.63	0.05	2.869	-8.228661	0.2869
2.75	0.04	2.657	-7.058049	0.21256
2.88	0.04	2.462	-6.059844	0.19696
3	0.05	2.275	-5.173125	0.2275
3.12	0.05	2.07	-4.2824	0.207
3.25	0.05	1.864	-3.471996	0.1864
3.37	0.07	1.657	-2.740749	0.23198
3.5	0.1	1.419	-2.003561	0.2838
3.62	0.14	1.142	-1.284564	0.31976
3.74	0.17	0.829	-0.658341	0.28186
3.87	0.81	0.392	0.502436	0.63504
3.99	1.13	0.616	0.897444	1.39216
4.12	1.34	0.964	0.866304	2.58352
4.24	1.39	1.161	0.584179	3.22758
4.36	1.41	1.264	0.390404	3.56448
4.49	1.41	1.331	0.216539	3.75342
4.61	1.38	1.372	0.022016	3.78672
4.74	1.35	1.387	-0.101269	3.7449
4.86	1.33	1.393	-0.171549	3.70538
4.98	1.31	1.389	-0.213221	3.63918
5.11	1.3	1.378	-0.208884	3.5828
5.23	1.28	1.367	-0.230289	3.49952
5.36	1.28	1.357	-0.203049	3.47392
5.48	1.26	1.344	-0.218736	3.38688
5.6	1.25	1.342	-0.238464	3.355
5.73	1.22	1.336	-0.296496	3.25984
5.85	1.2	1.325	-0.315625	3.18
5.98	1.18	1.312	-0.328944	3.09632
6.1	1.15	1.296	-0.357116	2.9808
6.22	1.14	1.277	-0.331129	2.91156
6.35	1.12	1.255	-0.320625	2.8112
6.47	1.1	1.232	-0.307824	2.7104
6.6	1.07	1.212	-0.324044	2.59368
