Polysilicon Sopra_Database
210.144375 -7.11936477 6.29784364
211.940481 -7.21894699324 6.3931596908
213.767554 -7.34287369 6.5571792
215.626402 -7.48794786581 6.7749554665
217.517862 -7.650942 7.0311935
219.442799 -7.83194476601 7.29368331241
221.402109 -8.01814983 7.59389456
223.396723 -8.20807223264 7.9585019752
225.427602 -8.36207955 8.37477412
227.495745 -8.44006549704 8.865513966
229.602188 -8.42925648 9.34207486
231.748002 -8.26048913486 9.717653952
233.934304 -8.08021536 9.9836077
236.16225 -8.02160712659 10.0721342013
238.433041 -8.07033472 10.10227104
240.747925 -8.26997386302 10.1685236539
243.108199 -8.57421673 10.27388064
245.51521 -8.95317562656 10.4567437871
247.970363 -9.40666425 10.71260168
250.475114 -9.92391399339 11.0500923369
253.030982 -10.50735168 11.47610376
255.639549 -11.1455835644 11.9924990328
258.302461 -11.86905737 12.63102816
261.021434 -12.7078248384 13.3914930982
263.798258 -13.66606272 14.39075704
266.634798 -14.8280758252 15.735559387
269.533003 -15.986685 17.54474288
272.494904 -16.9542620488 20.048619378
275.522625 -17.53688745 23.11032672
278.618385 -17.4963936002 26.5418231172
281.784503 -16.59546053 30.47290596
285.023405 -14.634689374 35.4389953017
288.337631 -11.00041696 39.8117115
291.729838 -4.61646040338 41.4677948556
295.202813 1.7723316 41.03173082
298.759473 5.531481946 39.0096833218
302.402881 7.92523745 36.54233568
306.13625 9.52621926171 34.7082956512
309.962953 10.57866288 33.21253166
313.886535 11.4314999771 32.073833347
317.910721 12.16751211 31.2231186
322.039432 12.9855783301 30.61028299
326.276793 13.8182128 30.17236002
330.62715 14.6488376006 29.8146646765
335.095085 15.50390311 29.599416
339.685428 16.3505119427 29.4955284939
344.403281 17.35730828 29.69266896
349.254032 18.3260918557 30.5114581666
354.243375 20.39913505 31.55396112
359.377337 25.5263317357 33.2568481644
364.662298 31.67407533 32.78446444
370.105019 36.7131380739 25.9279066655
375.712671 38.91660369 17.6072572
381.492866 36.7041100698 12.2556117886
387.453692 33.262778 8.6825415
393.60375 30.7995841049 6.68713187837
399.952198 28.69854624 5.543254
406.508791 27.0095960065 4.6270860999
413.283938 25.60734969 3.9751316
420.28875 24.406025874 3.46117555486
427.535108 23.37119888 3.06281934
435.035724 22.4494879484 2.73262315938
442.804219 21.6331744 2.45415048
450.855205 20.9022264887 2.20464713805
459.204375 20.24728275 1.968685
467.868609 19.6583223894 1.7091078004
476.866082 19.12095004 1.4755872
486.216397 18.619672247 1.3164801456
495.940725 18.15538608 1.19028544
506.061964 17.7247099274 1.073327112
516.604922 17.324584 0.96685758
527.596516 16.9517587525 0.866189741328
539.066006 16.604106 0.76708438
551.04525 16.2797109672 0.656040246622
563.569006 15.97514816 0.5572515
576.675262 15.686220657 0.500388276362
590.405625 15.4148698 0.45234432
604.805762 15.1636094911 0.385199134144
619.925906 14.92572396 0.3168152
635.821443 14.6927372704 0.255915837072
652.553586 14.47352329 0.2008776
670.190169 14.2760478964 0.151559942928
688.806563 14.09379563 0.11187516
708.48675 13.9229750672 0.088157323994
729.324596 13.76400396 0.072716
751.425341 13.6196791334 0.0603395769
774.907383 13.47913035 0.05066532
799.904395 13.3305433151 0.041118755772
826.567875 13.18050909 0.0334006
855.070216 13.0249082039 0.028965882156
885.608438 12.8837794 0.02584368
918.40875 12.7860210868 0.022484353728
953.732164 12.69923767 0.01924344
991.88145 12.5952613247 0.015572928628
1033.20984 12.49198012 0.01272384
1078.13201 12.4011350856 0.01267749
1127.13801 12.31237597 0.01263204
1180.81125 12.2209647419 0.0110119275
1239.85181 12.12223408 0.00626706
