wl	realE
400	8.452005000	0
430	8.246652005	0
441	8.050833789	0
452	7.881484889	0
463	7.733704266	0
474	7.60372422	0
485	7.488601098	0
496	7.386002004	0
507	7.294054489	0
518	7.211238525	0
529	7.136307489	0
540	7.068229534	0
551	7.006143337	0
562	6.949324425	0
573	6.897159113	0
584	6.849124193	0
595	6.804770937	0
606	6.763712353	0
617	6.725612978	0
628	6.690180626	0
639	6.657159672	0
650	6.62632554	0
661	6.597480161	0
672	6.570448206	0
683	6.545073935	0
694	6.521218548	0
705	6.498757995	0
716	6.477581038	0
727	6.457587701	0
738	6.438687854	0
749	6.420800069	0
760	6.403850593	0
771	6.387772486	0
782	6.37250484	0
793	6.35799215	0
804	6.344183714	0
815	6.331033136	0
826	6.318497892	0
837	6.306538931	0
848	6.295120336	0
859	6.284209023	0
870	6.273774461	0
881	6.263788446	0
892	6.254224889	0
903	6.245059602	0
914	6.236270154	0
925	6.227835715	0
936	6.219736903	0
947	6.211955677	0
958	6.204475214	0
969	6.197279828	0
980	6.190354845	0
991	6.183686563	0
1002	6.177262142	0
1013	6.171069562	0
1024	6.165097542	0
1035	6.159335494	0
1046	6.153773476	0
1057	6.148402125	0
1068	6.14321265	0
1079	6.138196761	0
1090	6.133346635	0
1101	6.128654903	0
1112	6.124114611	0
1123	6.119719178	0
1134	6.115462394	0
1145	6.111338378	0
1156	6.107341562	0
1167	6.103466679	0
1178	6.099708723	0
1189	6.096062965	0
1200	6.092524893	0
1211	6.089090248	0
1222	6.085754963	0
1233	6.082515182	0
1244	6.079367236	0
1255	6.076307632	0
1266	6.073333041	0
1277	6.070440298	0
1288	6.067626377	0
1299	6.064888399	0
1310	6.062223622	0
1321	6.059629415	0
1332	6.057103277	0
1343	6.054642812	0
1354	6.052245733	0
1365	6.049909852	0
1376	6.047633079	0
1387	6.045413403	0
1398	6.04324891	0
1409	6.041137762	0
1420	6.039078196	0
1431	6.037068535	0
1442	6.035107147	0
1453	6.033192486	0
1464	6.031323062	0
1475	6.029497439	0
1486	6.027714251	0
1497	6.025972175	0
1508	6.024269946	0
1519	6.022606339	0
1530	6.02098018	0
