TiO2 from sopra
180.0 -2.1144395092 5.47518058632
190.0 -0.997475212111 5.62097139228
200.0 -0.517041986608 5.20905970111
210.0 -0.5909 4.818
220.0 -1.20982787633 5.17637011046
230.0 -2.26225138497 6.01272952954
240.0 -4.16287115676 6.68608740456
250.0 -6.24366958254 7.77315529626
260.0 -7.57541556878 10.4066987764
270.0 -7.96730313326 13.3974409162
280.0 -1.4200687291 23.8934992863
290.0 2.21282617493 27.1104375844
300.0 11.6282030306 31.041831618
310.0 19.9310773369 28.6303217223
320.0 24.7569365719 22.3835454871
330.0 25.5318140567 16.611971394
340.0 23.4944199632 10.8575255095
350.0 19.622454377 5.82772224329
360.0 14.913899 1.94274
370.0 13.4042189463 0.241662161304
380.0 12.2388445408 0.0
390.0 11.3926770924 0.0
400.0 10.7983677716 0.0
410.0 10.3994511331 0.0
420.0 10.1478243692 0.0
430.0 10.0007168369 0.0
440.0 9.91848100704 0.0
450.0 9.86301661594 0.0
460.0 9.7969 0.0
470.0 9.63559201562 0.0
480.0 9.4864 0.0
490.0 9.3253890625 0.0
500.0 9.1809 0.0
510.0 9.0826890625 0.0
520.0 9.0 0.0
530.0 8.910225 0.0
540.0 8.8209 0.0
550.0 8.72833164063 0.0
560.0 8.6436 0.0
570.0 8.58123789062 0.0
580.0 8.5264 0.0
590.0 8.4681 0.0
600.0 8.41 0.0
610.0 8.34848789062 0.0
620.0 8.2944 0.0
630.0 8.265625 0.0
640.0 8.2369 0.0
650.0 8.1796 0.0
660.0 8.1225 0.0
670.0 8.09046914062 0.0
680.0 8.0656 0.0
690.0 8.037225 0.0
700.0 8.0089 0.0
710.0 7.980625 0.0
720.0 7.9524 0.0
730.0 7.92070664063 0.0
740.0 7.8961 0.0
750.0 7.8961 0.0
760.0 7.8961 0.0
770.0 7.87153164063 0.0
780.0 7.84 0.0
790.0 7.80853164063 0.0
800.0 7.7841 0.0
810.0 7.7841 0.0
820.0 7.7841 0.0
830.0 7.756225 0.0
840.0 7.7284 0.0
850.0 7.7284 0.0
860.0 7.7284 0.0
870.0 7.700625 0.0
880.0 7.6729 0.0
890.0 7.6729 0.0
900.0 7.6729 0.0
910.0 7.645225 0.0
920.0 7.6176 0.0
930.0 7.61415039062 0.0
940.0 7.6176 0.0
950.0 7.62105039063 0.0
960.0 7.6176 0.0
970.0 7.590025 0.0
980.0 7.5625 0.0
990.0 7.55697900802 0.0
1000.0 7.5625 0.0
1010.0 7.5611250625 0.0
1020.0 7.5589309212 0.0
1030.0 7.55598390423 0.0
1040.0 7.55236140034 0.0
1050.0 7.548129833 0.0
1060.0 7.5433721104 0.0
1070.0 7.53814364262 0.0
1080.0 7.53252725703 0.0
1090.0 7.5265947193 0.0
1100.0 7.52041770624 0.0
1110.0 7.51406231004 0.0
1120.0 7.5076 0.0
1130.0 7.502121 0.0
1140.0 7.4965892401 0.0
1150.0 7.49102667668 0.0
1160.0 7.48546070585 0.0
1170.0 7.4798968036 0.0
1180.0 7.47436777704 0.0
1190.0 7.46887905562 0.0
1200.0 7.46346338036 0.0
1210.0 7.45813159776 0.0
1220.0 7.4529 0.0
1230.0 7.44924770756 0.0
1240.0 7.4458146048 0.0
1250.0 7.44257325966 0.0
1260.0 7.43949627194 0.0
1270.0 7.43655627003 0.0
1280.0 7.4337259082 0.0
1290.0 7.43097786432 0.0
1300.0 7.42829028912 0.0
1310.0 7.425625 0.0
1320.0 7.42296018912 0.0
1330.0 7.42027406432 0.0
1340.0 7.4175285082 0.0
1350.0 7.41470177003 0.0
1360.0 7.41176667194 0.0
1370.0 7.40869605966 0.0
1380.0 7.4054628048 0.0
1390.0 7.40203980756 0.0
1400.0 7.3984 0.0
1410.0 7.3945163498 0.0
1420.0 7.39035642744 0.0
1430.0 7.3859041608 0.0
1440.0 7.38112177968 0.0
1450.0 7.37598787913 0.0
1460.0 7.37047567904 0.0
1470.0 7.36455846798 0.0
1480.0 7.3582041852 0.0
1490.0 7.35139713172 0.0
1500.0 7.3441 0.0
