wavelength	real ep	imm ep
200	1.948816	0
225	1.885129	0
250	1.855044	0
275	1.833316	0
300	1.819801	0
325	1.811716	0
350	1.803649	0
375	1.798281	0
400	1.792921	0
425	1.790244	0
450	1.787569	0
475	1.784896	0
500	1.782225	0
525	1.779556	0
550	1.776889	0
575	1.776889	0
600	1.774224	0
625	1.774224	0
650	1.771561	0
675	1.771561	0
700	1.771561	0
725	1.7689	0
750	1.7689	0
775	1.7689	0
800	1.766241	0
825	1.766241	0
850	1.766241	0
875	1.763584	0
900	1.763584	0
925	1.763584	0
950	1.760929	0
975	1.760929	0
1000	1.760929	0
1200	1.752976	0
1400	1.745041	0
1600	1.734489	0
1800	1.721344	0
2000	1.705636	0
2200	1.679616	0
2400	1.635841	0
2600	1.542564	0
2650	1.485961	0
2700	1.411344	0
2750	1.338649	0
2800	1.304164	0
2850	1.320201	0
2900	1.442401	0
2950	1.669264	0
3000	1.879641	0
3050	2.033476	0
3100	2.152089	0
3150	2.199289	0
3200	2.184484	0
3250	2.152089	0
3300	2.1025	0
3350	2.050624	0
3400	2.0164	0
3450	1.9881	0
3500	1.96	0
3600	1.918225	0
3700	1.887876	0
3800	1.860496	0
3900	1.841449	0
4000	1.825201	0
4100	1.811716	0
4200	1.800964	0
4300	1.790244	0
4400	1.779556	0
4500	1.774224	0
4600	1.7689	0
4700	1.7689	0
4800	1.7689	0
4900	1.763584	0
5000	1.755625	0
5100	1.747684	0
5200	1.734489	0
5300	1.721344	0
5400	1.703025	0
5500	1.684804	0
5600	1.661521	0
5700	1.630729	0
5800	1.592644	0
5900	1.557504	0
6000	1.600225	0
6100	1.739761	0
6200	1.857769	0
6300	1.841449	0
6400	1.814409	0
6500	1.792921	0
6600	1.779556	0
6700	1.766241	0
6800	1.752976	0
6900	1.745041	0
7000	1.734489	0
7100	1.726596	0
7200	1.721344	0
7300	1.713481	0
7400	1.708249	0
7500	1.700416	0
7600	1.695204	0
7700	1.687401	0
7800	1.682209	0
7900	1.674436	0
8000	1.666681	0
8200	1.653796	0
8400	1.640961	0
8600	1.625625	0
8800	1.610361	0
9000	1.592644	0
9200	1.575025	0
9400	1.555009	0
9600	1.535121	0
9800	1.510441	0
10000	1.483524	0
10500	1.404225	0
11000	1.329409	0
11500	1.267876	0
12000	1.234321	0
12500	1.261129	0
13000	1.313316	0
13500	1.385329	0
14000	1.4641	0
14500	1.540081	0
15000	1.6129	0
15500	1.682209	0
16000	1.755625	0
16500	1.825201	0
17000	1.893376	0
17500	1.962801	0
18000	2.024929	0
18500	2.082249	0
19000	2.134521	0
19500	2.178576	0
20000	2.1904	0
21000	2.211169	0
22000	2.25	0
23000	2.283121	0
24000	2.313441	0
25000	2.343961	0
26000	2.368521	0
27000	2.387025	0
28000	2.399401	0
29000	2.405601	0
30000	2.405601	0
32000	2.390116	0
34000	2.359296	0
36000	2.331729	0
38000	2.316484	0
40000	2.307361	0
42000	2.316484	0
44000	2.3409	0
46000	2.374681	0
48000	2.418025	0
50000	2.518569	0
60000	2.900209	0
70000	3.316041	0
80000	3.556996	0
90000	3.701776	0
100000	3.829849	0
110000	3.865156	0
120000	4.016016	0
130000	4.145296	0
140000	4.227136	0
150000	4.280761	0
160000	4.330561	0
170000	4.384836	0
180000	4.439449	0
190000	4.490161	0
200000	4.5369	0
